record_ID;archipelago;lat;first_arrival_BP;XV_arrival;DEPTH_numeric;TIME_BP;K;Fe;Sr;N;Si;Ca;Ti;V;Mn;Fe;Cl;Sr;Zr
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2637.2;1263.1;397;16060;6082;11224;820;1055;58722;2186;2044;2604
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2688.55;1296.64;353;16528;7112;12099;928;874;56661;2345;2447;2569
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2739.8;1329.53;524;16247;7127;12479;925;944;58509;2200;2612;2881
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2791.05;1362.43;473;16628;6855;12289;628;962;57957;2201;2416;2710
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2842.3;1395.32;223;15845;5268;8807;716;975;50040;2648;2510;2472
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2893.65;1428.86;462;16077;6279;10297;640;688;52170;2350;2190;2469
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2944.9;1461.76;522;16748;8771;13977;948;1047;64275;3128;2654;2666
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;2996.15;1494.65;271;15937;5184;9338;725;883;50247;2508;2204;2372
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;3047.4;1527.55;217;15445;3785;6765;511;694;44341;2281;2122;2619
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;3098.75;1561.09;358;15813;5742;10942;723;850;58045;2479;2355;2751
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;3150;1593.98;404;16034;6109;11010;962;996;58007;2050;2630;2898
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;3201.25;1626.88;153;15585;4569;8424;860;941;49402;2393;2393;2750
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;3252.5;1659.77;440;16183;6836;11589;961;882;54711;2318;2459;2701
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;3303.85;1693.31;411;16681;6416;10867;703;978;54216;2416;2281;2654
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;3355.1;1726.21;233;16566;6764;12316;812;876;54758;2503;2317;2688
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;3406.35;1759.1;30;15832;2814;5117;706;794;35302;2678;2141;2521
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;3613.69;1893.26;320;16450;7368;14374;907;1026;72014;2611;2573;3025
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;3669.44;1928.73;1099;17412;9361;24008;1278;1150;93239;2215;2775;3787
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;3725.19;1964.85;691;17790;9301;15545;979;969;62557;2608;2535;2850
caldeirao;Corvo;Azores;39.7023;-31.108;400;1100;498;3780.94;2000.97;792;17805;9715;16291;1014;1233;75304;2242;2623;3034
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;84;-59.38;1303;36425;10557;14653;931;2320;97092;4985;1918;2154
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;134;-56.01;3331;40639;18015;27582;1665;3095;153060;5882;3298;3907
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;184;-51.9;16126;64386;52338;92663;3860;4952;416491;5828;6422;8155
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;234;-46.25;840;32992;9879;14702;1450;2357;85948;6202;1622;2141
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;284;-41.18;2959;48234;17309;18419;1501;3152;109522;6412;2419;2813
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;334;-37.24;2739;39826;17870;21748;1610;3195;130429;7279;3278;3503
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;384;-33.42;1913;34327;11422;14480;1202;2361;94445;6327;2501;2793
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;434;-28.53;4872;45674;21311;27352;1430;3408;148596;5327;3264;4260
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;484;-20.8;1041;37732;8630;9767;1130;2085;59908;6934;1341;1690
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;534;-11.45;3918;44296;22699;30424;1884;3736;168129;5577;3697;4067
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;584;-2.68;4649;43478;24331;35782;1764;3072;174408;5407;3463;4108
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;634;8.24;1784;46168;13865;14210;1190;2411;80779;7923;2015;2462
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;684;23.06;1554;40983;12183;12654;1410;2433;66615;5988;1634;1841
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;734;39.56;2277;45483;16698;19061;1527;2766;101790;5981;2602;2854
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;784;56.06;2232;48990;15370;16844;1241;2603;89621;6262;2313;2463
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;834;72.56;2573;44205;15969;20872;1707;3201;104512;5683;2478;2808
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;884;89.06;3434;44257;18981;25978;1551;3087;139066;5259;3178;3727
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;934;105.56;2283;42401;16445;20812;1533;2646;108846;5686;2938;2955
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;984;122.06;1823;44938;14502;15236;1085;2309;82578;6079;2057;2236
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;1034;138.56;1475;41049;11439;13159;1449;2490;72523;6031;1941;2419
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;1084;155.05;1836;47156;12777;15413;1274;2164;81908;6269;1951;2633
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;1134;171.55;1164;45846;11970;13237;1088;2178;69372;0;1394;1588
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;1184;188.05;2238;46448;15686;19684;1384;2387;100604;6514;2420;2840
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;1234;204.55;3668;44637;20821;29023;1865;2905;143801;5917;3254;3685
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;1284;221.05;1368;31103;11254;13672;1099;2377;95583;6768;2788;3155
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;1334;237.55;2146;35287;15110;20952;1495;2432;111798;8079;2764;3065
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;1384;254.05;2127;40394;14091;19491;1476;2250;102405;6720;1922;2525
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;1434;270.55;2822;41662;16607;22247;1436;2512;118756;9405;2649;3378
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;1484;287.05;2295;47109;15814;17359;1130;2257;94965;8162;2267;2742
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;1534;303.55;5809;46400;29629;41348;2429;2825;210012;7584;4700;5518
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;1584;320.05;5051;42408;23586;32980;1754;2550;163069;8494;2849;3562
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;1634;336.55;5971;45695;25056;44455;2435;2932;230789;8034;3845;5091
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;1684;353.05;7379;41068;27576;53226;2796;3755;288301;8298;4939;7113
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;1876;416.4;2301;36543;16203;22970;2230;2911;136562;4924;2911;3511
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;1933.5;435.375;1595;34309;14032;23076;1758;2738;145132;6711;3053;3928
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;1991;454.35;549;28379;10456;20991;1746;2347;137436;7374;3197;4743
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;2048.5;473.325;4337;56258;25830;40413;2596;3320;217466;5228;2906;4417
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;2106.6;492.498;4437;51123;20754;35668;2406;2973;193013;6603;3177;4363
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;2164.1;511.473;5036;48678;29635;38338;2348;3192;213974;5948;4278;4384
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;2221.6;527.876;1931;46698;14887;19907;1815;2640;115698;5842;2263;2917
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;2279.1;531.456;502;28513;7316;9183;1084;2002;77882;7195;1967;2458
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;2337.2;535.072;0;26281;3441;3462;593;1349;32717;0;1696;1992
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;2394.7;538.649;1870;38200;13930;19937;1699;2408;122882;5331;2315;3142
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;2452.2;542.224;1620;42125;12892;16141;1482;2300;102756;4580;2211;2582
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;2509.7;545.802;1829;42168;12946;18145;1553;2079;122510;4831;2280;2979
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;2567.8;549.418;1654;34846;12773;17360;1379;2166;113228;5112;2289;2758
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;2625.3;552.998;0;25456;2787;1907;642;1709;33669;9166;2231;2671
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;2682.8;556.578;2382;39669;15451;19946;1706;2618;118607;5979;2430;2824
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;2740.3;560.158;5199;42948;24032;38096;2266;2939;207932;5601;4213;4933
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;2798.4;563.774;1133;33077;10862;15281;1683;2242;102757;7433;1894;2472
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;2855.9;567.353;996;28929;10091;14782;1104;2120;104943;4971;2414;2763
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;2913.4;570.928;0;25344;4866;7291;870;1900;65744;8102;2333;2847
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;2970.9;575.09;461;26055;7380;14670;1502;2374;129383;6623;3394;4556
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;3029;580.49;476;26114;7675;14423;1321;2284;115752;5660;2687;3585
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;3086.5;585.835;1307;32979;11796;15978;1356;2274;99752;4712;2165;2727
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;3144;591.18;2118;32681;12719;18665;1593;2297;117992;5550;2406;3074
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;3201.5;596.525;1514;32290;15264;22584;1876;2249;135148;5687;2538;3469
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;3259.6;601.924;2074;28366;14007;23429;1884;2455;152423;5968;3196;4412
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;3317.1;607.269;2702;34748;18802;32875;2296;2775;171744;5222;2813;4059
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;3374.6;612.614;2173;30780;17284;30529;2059;2923;167882;5234;3205;4214
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;3432.1;617.959;2529;29426;17818;31968;2096;2705;180587;4892;2987;4455
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;3490.2;623.358;2964;35706;20195;28040;1828;2322;159612;4746;3347;3867
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;3728.5;645.51;3164;37461;25373;31813;1969;1890;160357;4085;5126;5242
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;3801;652.25;3002;34665;21796;29383;2049;2052;157947;4996;4280;4724
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;3867.2;658.4;2024;29977;17447;25681;1983;1747;166632;3800;4660;4693
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;3939.7;665.143;1631;28329;14336;22436;1931;1734;159818;4260;5204;5249
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;4012.2;671.88;4060;31222;24935;38953;2852;2280;221457;5039;5854;6426
